I (3488) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (6248) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (6268) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (6298) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (6318) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (6348) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (6368) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (6388) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (6418) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (6438) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (6468) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (6488) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (6518) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (6538) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (6568) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (6588) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (6608) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (6638) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (6658) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (6688) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (6708) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (6738) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (6758) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (6788) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (6808) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (6828) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (6858) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (6878) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (6908) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (6928) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (6958) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (6978) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (7008) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (7028) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (7048) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (7078) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (7098) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (7128) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (7148) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (7178) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (7198) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (7228) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (7248) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (7268) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (7298) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (7318) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (7348) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (7368) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (7398) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (7418) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (7448) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (7468) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (7488) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (7518) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (7538) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (7568) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (7588) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (7618) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (7638) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (7668) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (7688) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (7708) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (7738) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (7758) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (7788) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (7808) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (7838) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (7858) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (7888) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (7908) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (7928) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (7958) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (7978) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (8008) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (8028) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (8058) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (8078) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (8108) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (8128) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (8148) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (8178) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (8198) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (8228) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (8248) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (8278) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (8298) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (8328) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (8348) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (8368) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (8398) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (8418) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (8448) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (8468) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (8498) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (8518) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (8548) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (8568) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (8588) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (8618) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (8638) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (8668) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (8688) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (8718) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (8738) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (8768) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (8788) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (8808) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (8838) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (8858) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (8888) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (8908) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (8938) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (8958) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (8988) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (9008) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (9028) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (9058) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (9078) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (9108) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (9128) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (9158) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (9178) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (9208) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (9228) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (9248) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (9278) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (9298) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (9328) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (9348) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (9378) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (9398) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (9428) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (9448) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (9468) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (9498) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (9518) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (9548) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (9568) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (9598) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (9618) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (9648) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (9668) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (9688) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (9718) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (9738) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (9768) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (9788) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (9818) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (9838) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (9868) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (9888) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (9908) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (9938) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (9958) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (9988) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (10008) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (10038) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (10058) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (10088) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (10108) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (10128) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (10158) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (10178) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (10208) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (10228) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (10258) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (10278) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (10308) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (10328) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (10348) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (10378) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (10398) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (10428) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (10448) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (10478) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (10498) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (10528) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (10548) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (10568) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (10598) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (10618) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (10648) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (10668) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (10698) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (10718) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (10748) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (10768) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (10788) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (10818) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (10838) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (10868) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (10888) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (10918) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (10938) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (10968) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (10988) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (11008) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (11038) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (11058) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (11088) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (11108) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (11138) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (11158) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (11188) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (11208) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (11228) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (11258) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (11278) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (11308) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (11328) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (11358) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (11378) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (11408) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (11428) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (11448) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (11478) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (11498) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (11528) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (11548) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (11578) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (11598) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (11628) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (11648) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (11668) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (11698) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (11718) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (11748) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (11768) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (11798) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (11818) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (11848) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (11868) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (11888) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (11918) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (11938) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (11968) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (11988) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (12018) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (12038) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (12068) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (12088) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (12108) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (12138) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (12158) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (12188) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (12208) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (12238) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (12258) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (12288) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (12308) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (12328) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (12358) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (12378) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (12408) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (12428) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (12458) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (12478) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (12508) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (12528) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (12548) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (12578) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (12598) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (12628) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (12648) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (12678) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (12698) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (12728) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (12748) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (12768) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (12798) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (12818) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (12848) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (12868) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (12898) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (12918) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (12948) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (12968) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (12988) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (13018) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (13038) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (13068) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (13088) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (13118) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (13138) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (13168) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (13188) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (13208) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (13238) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (13258) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (13288) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (13308) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (13338) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (13358) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (13388) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (13408) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (13428) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (13458) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (13478) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (13508) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (13528) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (13558) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (13578) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (13608) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (13628) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (13648) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (13678) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (13698) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (13728) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (13748) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (13778) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (13798) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (13828) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (13848) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (13868) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (13898) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (13918) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (13948) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (13968) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (13998) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (14018) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (14048) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (14068) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (14088) main: ADC0:    0; DAC0:    0; PID: 21.755001
I (14118) main: ADC0:    0; DAC0:    0; PID: 21.755001
